frame_id,timestamp,yaw,pitch,roll
58,2025-11-01 15:41:50.837906,"[73.1, 59.6, 72.9, 60.4, 72.0, 58.9, 71.9, 58.9, 71.7, 84.0, 75.4]","[42.5, 42.8, 42.5, 42.8, 42.5, 42.6, 42.6, 42.6, 42.6, 42.6, 42.5]","[-39.7, -53.2, -39.9, -52.4, -40.8, -53.9, -40.9, -53.9, -41.1, -28.8, -37.4]"
59,2025-11-01 15:41:51.090188,"[62.7, 75.5, 63.4, 69.7, 72.8, 70.2, 69.8, 77.1, 68.7, 57.2, 69.3]","[42.6, 42.6, 42.6, 42.9, 42.5, 42.1, 42.5, 42.8, 42.5, 42.5, 42.4]","[-50.1, -37.3, -49.3, -43.1, -40.0, -42.6, -43.0, -35.7, -44.1, -55.6, -43.5]"
60,2025-11-01 15:41:51.346953,"[72.5, 65.8, 73.4, 67.0, 58.0, 70.7, 56.8, 69.7, 63.6, 63.1, 74.5]","[42.8, 42.5, 42.8, 42.5, 42.8, 42.6, 42.8, 42.5, 42.9, 42.5, 42.3]","[-40.3, -46.9, -39.3, -45.8, -54.8, -42.1, -56.0, -43.1, -49.2, -49.7, -38.2]"
61,2025-11-01 15:41:51.597860,"[68.1, 68.5, 74.6, 68.8, 76.0, 63.3, 76.0, 63.3, 74.1, 64.9, 59.8]","[42.7, 42.3, 42.6, 42.3, 42.5, 42.6, 42.5, 42.6, 42.3, 42.7, 42.4]","[-44.7, -44.3, -38.1, -44.0, -36.8, -49.5, -36.8, -49.5, -38.7, -47.9, -53.0]"
62,2025-11-01 15:41:51.850184,"[61.4, 74.5, 61.6, 65.8, 60.3, 74.7, 66.9, 76.8, 68.5, 79.0]","[42.7, 42.5, 42.8, 42.4, 42.8, 42.7, 42.4, 42.6, 42.4, 42.4]","[-51.4, -38.3, -51.1, -47.0, -52.5, -38.1, -45.9, -36.0, -44.2, -33.8]"
63,2025-11-01 15:41:52.078817,"[67.0, 55.5, 65.4, 76.2, 75.8, 67.6, 67.5, 67.2, 61.2, 66.4, 67.0]","[42.5, 42.9, 42.5, 42.2, 42.6, 42.4, 42.8, 42.4, 42.2, 42.5, 42.8]","[-45.8, -57.3, -47.4, -36.6, -37.0, -45.2, -45.3, -45.5, -51.6, -46.4, -45.8]"
64,2025-11-01 15:41:52.332910,"[52.5, 67.7, 69.1, 72.7, 71.9, 74.1, 72.6, 67.2, 76.3, 66.0, 75.1]","[42.8, 42.7, 42.3, 42.6, 42.3, 42.6, 42.3, 42.7, 42.3, 42.6, 42.3]","[-60.3, -45.0, -43.7, -40.1, -40.9, -38.7, -40.1, -45.6, -36.5, -46.7, -37.6]"
65,2025-11-01 15:41:52.585918,"[71.4, 75.6, 69.5, 66.8, 70.1, 55.8, 65.9, 76.4, 64.9, 72.9, 69.2]","[42.7, 42.3, 42.7, 42.3, 42.7, 42.9, 42.5, 42.7, 42.6, 42.8, 42.5]","[-41.3, -37.2, -43.2, -46.0, -42.6, -57.0, -46.8, -36.4, -47.9, -39.8, -43.6]"
66,2025-11-01 15:41:52.846550,"[80.3, 67.3, 64.0, 68.9, 79.6, 75.6, 64.2, 63.5, 64.3, 77.1, 67.2]","[42.6, 42.7, 42.4, 42.6, 42.3, 42.8, 42.7, 43.0, 42.7, 42.5, 42.9]","[-32.5, -45.4, -48.8, -43.8, -33.2, -37.2, -48.6, -49.3, -48.5, -35.6, -45.5]"
67,2025-11-01 15:41:53.091041,"[75.8, 75.6, 75.8, 80.5, 72.4, 60.5, 63.3, 64.4, 71.1, 70.4, 69.1]","[42.5, 42.9, 42.5, 42.8, 42.6, 42.5, 42.1, 42.5, 42.8, 42.4, 42.8]","[-37.0, -37.1, -36.9, -32.2, -40.4, -52.2, -49.4, -48.4, -41.7, -42.4, -43.7]"
68,2025-11-01 15:41:53.349093,"[65.2, 75.2, 76.7, 72.2, 58.8, 71.8, 69.3, 71.2, 56.9, 70.9, 77.0]","[42.5, 42.6, 42.2, 42.6, 42.6, 42.6, 43.0, 42.6, 42.7, 42.7, 42.3]","[-47.5, -37.5, -36.1, -40.6, -54.0, -40.9, -43.5, -41.6, -55.8, -41.8, -35.7]"
69,2025-11-01 15:41:53.600113,"[71.2, 81.2, 69.4, 81.4, 69.5, 64.1, 67.2, 81.1, 69.9, 77.8, 72.8]","[42.7, 42.4, 42.6, 42.5, 42.7, 42.4, 42.8, 42.7, 42.6, 42.8, 42.5]","[-41.5, -31.5, -43.3, -31.3, -43.2, -48.6, -45.5, -31.7, -42.8, -35.0, -40.0]"
70,2025-11-01 15:41:53.851660,"[62.8, 61.5, 76.0, 63.4, 76.1, 63.2, 70.8, 71.1, 76.0, 74.6, 76.4]","[42.4, 42.8, 42.7, 42.6, 42.6, 42.6, 42.3, 42.6, 42.2, 42.6, 43.0]","[-50.0, -51.2, -36.8, -49.4, -36.7, -49.6, -41.9, -41.6, -36.7, -38.1, -36.4]"
71,2025-11-01 15:41:54.107354,"[77.2, 63.4, 77.1, 69.6, 70.3, 69.4, 76.2, 63.2, 76.4, 63.8]","[42.6, 42.8, 42.6, 42.4, 42.8, 42.4, 42.6, 42.7, 42.5, 42.8]","[-35.5, -49.4, -35.6, -43.2, -42.4, -43.3, -36.5, -49.5, -36.3, -49.0]"
72,2025-11-01 15:41:54.333494,"[77.6, 69.7, 66.9, 79.8, 68.0, 61.9, 66.4, 79.0, 66.3, 74.4, 74.1]","[42.6, 43.0, 42.6, 42.6, 42.6, 42.3, 42.6, 42.6, 42.6, 42.9, 42.5]","[-35.1, -43.0, -45.8, -32.9, -44.7, -50.8, -46.3, -33.7, -46.4, -38.3, -38.6]"
73,2025-11-01 15:41:54.587695,"[71.9, 72.3, 80.8, 67.3, 80.5, 68.7, 79.4, 70.0, 60.1, 67.7, 69.1]","[42.9, 42.5, 42.7, 42.7, 42.6, 42.6, 42.7, 42.5, 42.4, 42.6, 43.0]","[-40.8, -40.5, -31.9, -45.4, -32.2, -44.0, -33.3, -42.7, -52.6, -45.0, -43.6]"
